cell_type	gene	expressed
K562	CD101	TRUE
K562	TTF2	TRUE
K562	TRIM45	TRUE
K562	MAN1A2	TRUE
K562	FAM46C	TRUE
K562	GDAP2	TRUE
K562	WDR3	TRUE
K562	SPAG17	TRUE
K562	TBX15	TRUE
K562	WARS2	TRUE
K562	ZNF697	TRUE
K562	PHGDH	TRUE
K562	GPR89A	TRUE
K562	POLR3C	TRUE
K562	RNF115	TRUE
K562	NUDT17	TRUE
K562	PIAS3	TRUE
K562	ANKRD35	TRUE
K562	ITGA10	TRUE
K562	PEX11B	TRUE
K562	RBM8A	TRUE
K562	LIX1L	TRUE
K562	ANKRD34A	TRUE
K562	POLR3GL	TRUE
K562	TXNIP	TRUE
K562	HFE2	TRUE
K562	LINC01719	TRUE
K562	PRKAB2	TRUE
K562	FMO5	TRUE
K562	CHD1L	TRUE
K562	BCL9	TRUE
K562	ACP6	TRUE
K562	GJA5	TRUE
K562	GPR89B	TRUE
K562	HIST2H2BF	TRUE
K562	HIST2H3D	TRUE
K562	HIST2H2BE	TRUE
K562	HIST2H2AC	TRUE
K562	HIST2H2AB	TRUE
K562	BOLA1	TRUE
K562	SV2A	TRUE
K562	SF3B4	TRUE
K562	MTMR11	TRUE
K562	OTUD7B	TRUE
K562	VPS45	TRUE
K562	PLEKHO1	TRUE
K562	ANP32E	TRUE
K562	APH1A	TRUE
K562	C1orf54	TRUE
K562	CIART	TRUE
K562	MRPS21	TRUE
K562	PRPF3	TRUE
K562	RPRD2	TRUE
K562	TARS2	TRUE
K562	ECM1	TRUE
K562	FALEC	TRUE
K562	ADAMTSL4	TRUE
K562	ADAMTSL4-AS1	TRUE
K562	MCL1	TRUE
K562	ENSA	TRUE
K562	GOLPH3L	TRUE
K562	CTSS	TRUE
K562	CTSK	TRUE
K562	ARNT	TRUE
K562	SETDB1	TRUE
K562	CERS2	TRUE
K562	ANXA9	TRUE
K562	MINDY1	TRUE
K562	PRUNE1	TRUE
K562	BNIPL	TRUE
K562	C1orf56	TRUE
K562	CDC42SE1	TRUE
K562	MLLT11	TRUE
K562	GABPB2	TRUE
K562	SEMA6C	TRUE
K562	TNFAIP8L2	TRUE
K562	LYSMD1	TRUE
K562	SCNM1	TRUE
K562	TMOD4	TRUE
K562	VPS72	TRUE
K562	PIP5K1A	TRUE
K562	PSMD4	TRUE
K562	ZNF687	TRUE
K562	PI4KB	TRUE
K562	RFX5	TRUE
K562	SELENBP1	TRUE
K562	PSMB4	TRUE
K562	POGZ	TRUE
K562	CGN	TRUE
K562	TUFT1	TRUE
K562	SNX27	TRUE
K562	CELF3	TRUE
K562	RIIAD1	TRUE
K562	MRPL9	TRUE
K562	TDRKH	TRUE
K562	RORC	TRUE
K562	THEM5	TRUE
K562	THEM4	TRUE
K562	S100A11	TRUE
K562	LCE1D	TRUE
K562	SMCP	TRUE
K562	SPRR3	TRUE
K562	SPRR2D	TRUE
K562	SPRR2A	TRUE
K562	SPRR2B	TRUE
K562	LOR	TRUE
K562	S100A8	TRUE
K562	S100A7	TRUE
K562	S100A6	TRUE
K562	S100A5	TRUE
K562	S100A4	TRUE
K562	S100A3	TRUE
K562	S100A2	TRUE
K562	S100A14	TRUE
K562	S100A13	TRUE
K562	S100A1	TRUE
K562	CHTOP	TRUE
K562	SNAPIN	TRUE
K562	ILF2	TRUE
K562	INTS3	TRUE
K562	SLC27A3	TRUE
K562	GATAD2B	TRUE
K562	DENND4B	TRUE
K562	CRTC2	TRUE
K562	SLC39A1	TRUE
K562	CREB3L4	TRUE
K562	JTB	TRUE
K562	RAB13	TRUE
K562	RPS27	TRUE
K562	NUP210L	TRUE
K562	TPM3	TRUE
K562	C1orf189	TRUE
K562	C1orf43	TRUE
K562	UBAP2L	TRUE
K562	HAX1	TRUE
K562	AQP10	TRUE
K562	ATP8B2	TRUE
K562	IL6R	TRUE
K562	UBE2Q1	TRUE
K562	ADAR	TRUE
K562	KCNN3	TRUE
K562	PMVK	TRUE
K562	PBXIP1	TRUE
K562	PYGO2	TRUE
K562	SHC1	TRUE
K562	CKS1B	TRUE
K562	FLAD1	TRUE
K562	LENEP	TRUE
K562	ZBTB7B	TRUE
