type	dataset	dist_bin	total_pairs	significant_pairs	negative_pairs	positive_pairs	positive_rate_significant	positive_rate_negative	positive_rate_positive	mean_dist
training	Gasperini2019	(1e+05,1.5e+05]	4224	26	23	3	0.00615530303030303	0.00544507575757575	7.102272727272727e-4	124665.49644886365
training	Gasperini2019	(1.5e+05,2e+05]	4109	17	13	4	0.00413725967388659	0.00316378680944268	9.734728644439036e-4	175056.0167924069
training	Gasperini2019	(2e+05,2.5e+05]	4009	3	0	3	7.483162883512097e-4	0	7.483162883512097e-4	224437.76228485905
training	Gasperini2019	(2.5e+05,3e+05]	3935	6	5	1	0.00152477763659466	0.00127064803049555	2.5412960609911054e-4	274887.35349428206
training	Gasperini2019	(3e+05,3.5e+05]	3935	3	2	1	7.623888182973316e-4	5.082592121982211e-4	2.5412960609911054e-4	324896.0505717916
training	Gasperini2019	(3.5e+05,4e+05]	3836	8	5	3	0.00208550573514077	0.00130344108446298	7.820646506777894e-4	374820.20907194994
training	Gasperini2019	(4e+05,4.5e+05]	3753	8	4	4	0.0021316280309086	0.0010658140154543	0.0010658140154543	424930.10045297095
training	Gasperini2019	(4.5e+05,5e+05]	3535	7	7	0	0.00198019801980198	0.00198019801980198	0	474705.4947666195
training	Gasperini2019	(5e+05,5.5e+05]	3519	5	3	2	0.0014208581983518	8.525149190110827e-4	5.683432793407218e-4	525487.4936061382
training	Gasperini2019	(5.5e+05,6e+05]	3496	3	2	1	8.581235697940503e-4	5.720823798627002e-4	2.860411899313501e-4	575024.1779176202
training	Gasperini2019	(6e+05,6.5e+05]	3520	2	1	1	5.681818181818182e-4	2.840909090909091e-4	2.840909090909091e-4	625472.8869318182
training	Gasperini2019	(6.5e+05,7e+05]	3362	8	2	6	0.00237953599048185	5.94883997620464e-4	0.00178465199286139	674521.5389649018
training	Gasperini2019	(7e+05,7.5e+05]	3437	2	1	1	5.819028222286878e-4	2.909514111143439e-4	2.909514111143439e-4	725327.8335757928
training	Gasperini2019	(7.5e+05,8e+05]	3369	3	0	3	8.904719501335708e-4	0	8.904719501335708e-4	774834.893143366
training	Gasperini2019	(8e+05,8.5e+05]	3333	3	1	2	9.000900090009e-4	3.0003000300030005e-4	6.000600060006001e-4	824411.7593759376
training	Gasperini2019	(8.5e+05,9e+05]	3331	3	1	2	9.006304413089162e-4	3.002101471029721e-4	6.004202942059442e-4	874644.3158210748
training	Gasperini2019	(9e+05,9.5e+05]	3366	3	0	3	8.9126559714795e-4	0	8.9126559714795e-4	924604.5799168152
training	Gasperini2019	(9.5e+05,1e+06]	3323	5	3	2	0.00150466445982545	9.027986758952752e-4	6.018657839301836e-4	975411.6166114956
training	Gasperini2019	(1e+06,1.05e+06]	3368	5	3	2	0.00148456057007125	8.907363420427554e-4	5.938242280285036e-4	1024948.8304631828
training	Gasperini2019	(1.05e+06,1.1e+06]	3137	5	0	5	0.00159387950270959	0	0.00159387950270959	1075103.4816703857
training	Gasperini2019	(1.1e+06,1.15e+06]	3202	6	3	3	0.00187382885696439	9.369144284821988e-4	9.369144284821988e-4	1125009.5009369145
training	Gasperini2019	(1.15e+06,1.2e+06]	3176	6	1	5	0.00188916876574307	3.1486146095717883e-4	0.00157430730478589	1175541.5018891688
training	Gasperini2019	(1.2e+06,1.25e+06]	3205	0	0	0	0	0	0	1225421.4430577224
training	Gasperini2019	(1.25e+06,1.3e+06]	3155	2	0	2	6.339144215530904e-4	0	6.339144215530904e-4	1274496.075118859
training	Gasperini2019	(1.3e+06,1.35e+06]	2973	3	0	3	0.00100908173562058	0	0.00100908173562058	1324784.6152034982
training	Gasperini2019	(1.35e+06,1.4e+06]	3003	7	3	4	0.00233100233100233	9.99000999000999e-4	0.00133200133200133	1375095.894105894
training	Gasperini2019	(1.4e+06,1.45e+06]	3034	5	1	4	0.0016479894528675	3.295978905735003e-4	0.001318391562294	1425367.767963085
training	Gasperini2019	(1.45e+06,1.5e+06]	3056	5	1	4	0.00163612565445026	3.272251308900524e-4	0.0013089005235602	1475549.3926701571
training	Gasperini2019	(1.5e+06,1.55e+06]	3071	5	1	4	0.00162813415825464	3.2562683165092806e-4	0.00130250732660371	1525037.4278736569
training	Gasperini2019	(1.55e+06,1.6e+06]	3064	1	0	1	3.2637075718015666e-4	0	3.2637075718015666e-4	1574992.149151436
training	Gasperini2019	(1.6e+06,1.65e+06]	3220	4	3	1	0.00124223602484472	9.316770186335404e-4	3.1055900621118014e-4	1624884.402173913
training	Gasperini2019	(1.65e+06,1.7e+06]	3027	4	4	0	0.0013214403700033	0.0013214403700033	0	1674765.6580773045
training	Gasperini2019	(1.7e+06,1.75e+06]	2995	2	2	0	6.67779632721202e-4	6.67779632721202e-4	0	1724904.0964941569
training	Gasperini2019	(1.75e+06,1.8e+06]	2877	2	0	2	6.951685783802572e-4	0	6.951685783802572e-4	1774770.1883906848
training	Gasperini2019	(1.8e+06,1.85e+06]	2931	2	2	0	6.82360968952576e-4	6.82360968952576e-4	0	1825048.4807233023
training	Gasperini2019	(1.85e+06,1.9e+06]	3027	4	1	3	0.0013214403700033	3.303600925008259e-4	9.910802775024777e-4	1874965.956722828
training	Gasperini2019	(1.9e+06,1.95e+06]	2839	2	1	1	7.044734061289186e-4	3.522367030644593e-4	3.522367030644593e-4	1925034.2803804155
training	Gasperini2019	(1.95e+06,2e+06]	2787	5	3	2	0.0017940437746681	0.00107642626480086	7.176175098672408e-4	1975630.6146393972
